"c5r2mtsc","c5r2mtsc_std","p5hmage","w3momed_hsb","w3income","catholic","income2"
43.467,-0.724635597859169,50,0,32.5005,0,62653.9502077822
57.313,0.700717987017912,46,0,87.5005,0,154248.734895509
59.292,0.904442871061805,46,0,62.5005,0,101016.467058013
50.512,0.000600282933769985,37,0,45.0005,0,142766.028959524
46.613,-0.400775827671151,46,1,62.5005,0,76109.0211035328
45.252,-0.540881723165713,35,0,62.5005,1,161874.58044501
58.224,0.794499376287233,45,0,62.5005,1,149491.344326181
57.484,0.718321299383504,38,0,62.5005,1,183840.989497757
52.854,0.241693601999357,46,0,62.5005,1,139579.875690358
47.66,-0.292994143187091,42,0,62.5005,1,148708.827439045
56.111,0.576980083722935,41,0,87.5005,1,181710.356009609
44.09,-0.660501892574002,36,1,45.0005,1,129087.385930076
55.635,0.527979050471346,38,0,87.5005,1,144512.746646256
63.876,1.37633517447626,40,0,62.5005,1,148988.786572575
41.28,-0.94977269811384,40,1,45.0005,1,71220.6236887138
59.532,0.929149274381933,44,0,150.0005,1,227964.264094628
56.14,0.579965440790784,48,0,62.5005,1,122617.013737503
52.433,0.198354452841965,33,1,62.5005,1,153295.395522127
40.093,-1.07196645120131,34,1,62.5005,0,138265.299175649
50.493,-0.00135564066240669,32,1,45.0005,0,86422.3782841513
60.809,1.06060792871445,49,0,62.5005,0,131440.471425306
52.975,0.254149747006589,43,0,62.5005,0,104876.019035124
62.614,1.24642067035125,38,0,27.5005,0,56300.8194199561
61.758,1.15830116517613,42,0,150.0005,0,215130.766173223
48.06,-0.25181680432021,38,1,150.0005,0,256144.955218774
71.778,2.18979350379149,42,0,150.0005,0,318093.18015409
48.332,-0.223816213890731,27,0,87.5005,0,120166.828790702
35.151,-1.58071247290162,35,1,62.5005,0,107878.757874605
52.725,0.228413910214788,37,0,32.5005,0,61671.8069465216
57.452,0.715027112274153,41,0,150.0005,0,318144.116465169
47.213,-0.33900981937083,29,1,37.5005,0,86099.7663209746
42.1,-0.865359153436735,30,1,62.5005,0,164325.02376502
52.062,0.160162471042933,44,1,62.5005,0,160243.979011428
44.743,-0.593279886873819,35,0,150.0005,0,383579.692418936
50.695,0.019438915465368,41,0,150.0005,0,300877.372016515
51.682,0.121043999119397,45,0,45.0005,0,108891.270659516
53.912,0.350607663302257,39,0,150.0005,0,304551.716442828
40.803,-0.998876674712596,27,1,87.5005,0,195836.30392102
56.153,0.581303704303957,34,1,87.5005,0,187989.964239452
53.587,0.317151075472917,44,0,150.0005,0,210120.80887264
49.45,-0.108725551757798,35,1,45.0005,0,65644.2132976777
46.158,-0.447615050632228,33,1,27.5005,0,76761.6633197421
62.941,1.28008314487493,41,0,150.0005,0,433516.495800766
57.573,0.727483257281385,38,0,150.0005,0,189538.720393845
49.521,-0.101416574108927,42,0,87.5005,0,116650.928816237
62.858,1.27153884706005,45,0,87.5005,0,242991.872118174
66.707,1.66776779030661,44,0,37.5005,0,59968.8156127328
64.449,1.43532171240307,39,1,62.5005,0,122763.78291736
35.518,-1.54293226449126,43,1,62.5005,0,218978.603816211
53.048,0.261664611349795,42,0,87.5005,0,217685.919324525
48.805,-0.175124010680644,41,1,22.5005,0,44166.2649315022
45.39,-0.52667554125664,35,1,62.5005,0,129283.09689491
48.805,-0.175124010680644,35,0,45.0005,0,116194.693479026
55.043,0.467036588948363,36,0,27.5005,0,66021.2657316682
59.559,0.931928744755448,40,1,45.0005,0,136664.193997019
35.391,-1.55600606958149,41,0,27.5005,1,31474.8176341028
71.211,2.13142462594769,43,1,87.5005,0,215912.360693418
16.33,-3.51820920993553,27,0,7.5005,0,19917.0659157443
32.012,-1.90385163965947,33,1,7.5005,0,12783.1835701408
34.609,-1.63650776706625,46,1,17.5005,0,32301.9989749345
53.211,0.278444376938048,46,1,12.5005,0,28423.9063950754
50.574,0.00698277045813627,39,1,27.5005,0,48878.2093191279
43.035,-0.769107123835401,38,1,27.5005,0,56286.1712124633
43.984,-0.671413887373726,32,1,17.5005,0,45937.2164514963
49.306,-0.123549393749876,36,1,37.5005,0,99677.1548079938
49.775,-0.0752689639284582,32,1,27.5005,0,40059.676557724
39.868,-1.09512870431393,39,0,45.0005,0,97692.6846670807
35.087,-1.58730084712032,37,0,87.5005,0,156781.06718272
39.138,-1.17027734774599,35,0,12.5005,0,21465.2922556853
53.572,0.315606925265409,43,1,37.5005,0,92230.4884667592
64.191,1.40876232883393,36,0,37.5005,0,51554.9049008414
52.587,0.214207728305715,34,1,27.5005,0,58156.7009762584
35.842,-1.50957862000909,38,1,22.5005,0,51546.503244289
59.098,0.884471861711368,50,0,150.0005,0,366446.007497672
63.548,1.34256975660542,45,0,200.001,0,463425.432153117
61.001,1.08037305137055,47,1,87.5005,0,131018.258103494
66.634,1.6602529259634,42,0,150.0005,0,278110.202094107
47.977,-0.260361102135088,37,0,37.5005,0,64433.4259682648
44.38,-0.630648321895513,32,1,27.5005,0,56528.5165626208
46.78,-0.383584288694228,34,1,17.5005,0,29505.5072826392
47.983,-0.259743442052085,33,1,7.5005,0,15421.8829487512
48.029,-0.255008048082393,30,1,32.5005,0,57630.8023201151
48.238,-0.233492888524448,34,1,27.5005,0,65372.7731850844
36.146,-1.47828384247026,32,0,22.5005,0,41760.2204033189
36.595,-1.43206227959218,45,0,17.5005,0,34357.9170690068
49.683,-0.0847397518678407,52,1,27.5005,0,73031.2857756089
52.464,0.201545696604148,34,1,22.5005,0,23205.81191783
48.995,-0.155564774718876,37,1,37.5005,0,80928.2976708096
53.535,0.311798021420222,33,1,22.5005,0,42015.7636072394
34.043,-1.69477370156288,35,1,62.5005,0,169156.046660824
38.137,-1.27332363826036,36,0,17.5005,0,32790.9499369474
68.519,1.85430113537358,29,0,32.5005,0,82990.8429968069
53.52,0.310253871212714,36,1,37.5005,0,53829.4598251708
51.361,0.0879991846787243,38,1,12.5005,0,16217.5917907923
30.678,-2.04117806478052,38,1,5,0,7948.77169643108
57.404,0.710085831610128,31,0,62.5005,0,98705.7159473853
41.723,-0.90416879531877,42,0,62.5005,0,104774.605487007
57.027,0.671276189728092,35,0,87.5005,0,152128.049774912
52.982,0.254870350436759,47,1,37.5005,0,110904.883073944
35.717,-1.52244653840499,42,1,62.5005,0,71917.0052316723
33.854,-1.71422999417748,42,1,12.5005,0,22815.5535410555
60.198,0.99770954359529,42,0,45.0005,0,141850.8359957
47.612,-0.297935423851116,43,1,27.5005,0,73795.9740819599
38.998,-1.1846894163494,37,1,27.5005,0,60468.2055335189
55.516,0.515728792158449,30,1,45.0005,0,63399.8857497347
35.633,-1.53109377956703,29,1,27.5005,0,62521.9072231018
25.142,-2.61107243469815,38,1,32.5005,0,90161.3310692431
24.021,-2.72647192687258,32,1,17.5005,0,45981.1943812195
44.391,-0.629515945076675,37,0,32.5005,0,67407.8236562566
52.934,0.249929069772733,47,0,87.5005,0,157728.482675948
62.307,1.21481706277092,43,0,150.0005,0,229094.835201656
58.31,0.803352504143613,47,0,150.0005,0,162299.352868606
57.909,0.762072221929564,44,0,87.5005,0,230601.841511964
56.37,0.60364241063924,41,1,87.5005,0,122407.669438933
56.322,0.598701129975215,41,0,62.5005,0,149745.674170097
59.194,0.894354423039419,44,0,150.0005,0,367330.708698324
46.016,-0.462233005929971,41,0,150.0005,0,424245.955270358
51.2,0.0714253057848053,42,0,150.0005,0,271147.564338659
47.798,-0.278787961278017,39,0,150.0005,0,286772.598597166
64.919,1.48370508557165,42,0,150.0005,0,404299.651062893
71.855,2.19772014152337,44,0,150.0005,0,204305.06165523
68.567,1.8592424160376,38,0,150.0005,0,310814.508859649
57.809,0.751777887212844,39,0,150.0005,0,263880.311199772
61.243,1.10528534138502,48,0,150.0005,0,323289.519209228
60.527,1.0315779048133,37,0,62.5005,0,150955.987820348
41.766,-0.89974223139058,31,1,32.5005,0,55121.8453460854
40.903,-0.988582339995876,42,1,27.5005,0,34224.9305593705
31.565,-1.94986731584321,33,1,32.5005,0,60386.9291989856
37.515,-1.33735440019836,33,1,22.5005,0,69355.414168503
45.39,-0.52667554125664,27,1,12.5005,0,13382.8334042537
53.071,0.26403230833464,42,0,150.0005,0,267032.104419201
58.174,0.789352208928873,37,0,45.0005,0,125278.500999392
33.242,-1.77723132264381,40,0,87.5005,0,162762.470582527
52.806,0.236752321335331,37,0,150.0005,0,404415.851340345
56.52,0.619083912714321,38,0,45.0005,0,92986.2089468258
52.114,0.165515525095628,37,1,200.001,0,364352.928188657
47.08,-0.352701284544068,40,0,87.5005,0,162812.620511904
61.093,1.08984383930994,42,0,87.5005,0,141036.0823241
52.026,0.156456510544914,35,1,37.5005,0,83634.5554202262
44.604,-0.607589012130061,39,0,45.0005,0,40579.1783657398
53.862,0.345460495943897,39,0,87.5005,0,89755.8782874203
53.758,0.334754387838508,39,1,62.5005,0,129558.243293898
41.015,-0.977052685113149,41,0,62.5005,0,113102.397719477
53,0.256723330685769,36,1,62.5005,0,174642.574355545
45.409,-0.524719617660463,31,1,37.5005,0,96122.171640113
63.65,1.35306997801647,38,0,62.5005,0,91578.4329237135
44.541,-0.614074443001595,37,1,37.5005,0,61362.485908123
44.23,-0.646089823970594,24,1,32.5005,0,41757.8204374977
37.039,-1.38635543344994,35,1,27.5005,0,55702.3487039883
55.694,0.534052707954212,39,0,87.5005,0,167589.709209005
49.738,-0.0790778677736446,46,0,62.5005,0,122969.255743303
41.645,-0.912198376397811,31,1,7.5005,0,12492.1461652175
44.316,-0.637236696114214,61,0,150.0005,0,359309.545002136
52.416,0.196604415940123,41,0,62.5005,1,133725.550450554
60.085,0.986076945365396,44,1,62.5005,1,177142.275005806
49.074,-0.147432250292667,44,0,62.5005,1,115459.597284885
66.606,1.65737051224272,52,1,62.5005,1,155425.865514064
54.715,0.433271171077521,40,0,87.5005,1,242703.807695051
56.96,0.66437898546789,37,1,87.5005,1,106602.621945488
53.482,0.30634202402036,29,0,45.0005,1,54986.7471829252
61.604,1.14244788971238,28,1,22.5005,1,27226.7760141073
54.505,0.411653068172408,41,0,87.5005,1,183559.293189427
34.064,-1.69261189127237,42,0,150.0005,1,300434.339659731
54.077,0.367593315584845,36,0,32.5005,1,60330.9739830396
50.996,0.050424862962696,33,0,45.0005,1,99151.1120096958
58.692,0.842676862761484,44,0,87.5005,1,166527.263429889
48.72,-0.183874195189856,37,0,150.0005,1,310316.755974722
54.169,0.377064103524228,42,1,150.0005,1,413806.153764511
44.689,-0.598838827620848,42,1,37.5005,0,77038.6324937508
47.322,-0.327788994529605,40,0,62.5005,0,159066.68277345
47.518,-0.307612098484833,32,0,87.5005,1,154553.338614801
45.102,-0.556323225240794,44,0,87.5005,1,165659.984081499
43.646,-0.70620873871624,39,0,62.5005,1,136698.381528724
48.369,-0.220007310045544,32,0,37.5005,1,63872.1833581275
56.52,0.619083912714321,48,0,87.5005,1,112982.269824784
50.735,0.023556649352056,33,0,87.5005,1,190806.710796168
53.255,0.282973884213406,38,0,62.5005,1,88165.9744444449
44.683,-0.599456487703852,34,1,45.0005,1,79520.6853367698
54.77,0.438933055171717,53,0,150.0005,0,323740.31773937
40.951,-0.98364105933185,41,1,45.0005,1,100784.051375673
53.678,0.326518920065132,45,0,45.0005,1,80491.5610361925
43.314,-0.740385929975751,37,1,37.5005,1,58582.2556071017
55.491,0.51315520847927,41,0,150.0005,1,357736.52901683
56.9,0.658202384637857,35,1,150.0005,0,230924.624805038
56.015,0.567097522394884,34,0,45.0005,0,108152.087283161
62.843,1.26999469685254,44,1,87.5005,0,237562.935904435
57.963,0.767631162676593,37,0,45.0005,0,67727.4952168104
43.214,-0.750680264692472,28,1,12.5005,0,28619.3563661994
48.184,-0.239051829271477,46,0,45.0005,0,79389.1012704156
58.873,0.861309608598747,36,0,62.5005,0,156243.365432548
56.814,0.649349256781478,41,0,62.5005,0,133709.688750415
48.926,-0.162667865673413,42,0,62.5005,0,141440.285483837
64.552,1.44592487716129,28,0,62.5005,0,167603.770945172
46.216,-0.44164433649653,31,0,37.5005,0,84531.7797934574
64.662,1.45724864534968,36,0,62.5005,0,134135.60089057
57.955,0.766807615899256,40,0,87.5005,0,220800.72436087
61.416,1.12309454044494,40,0,87.5005,0,262092.721546273
65.901,1.58479545248984,39,0,87.5005,0,152880.243388575
31.592,-1.9470878454697,44,0,62.5005,0,124636.942786328
54.832,0.445315542696083,37,0,87.5005,0,140416.34924619
57.304,0.699791496893407,38,0,87.5005,0,81171.5316145768
60.64,1.04321050304319,38,0,200.001,0,204217.780304325
50.426,-0.00825284492260925,37,1,45.0005,0,82358.5494803697
58.389,0.811485028569822,37,0,45.0005,0,65751.0649661883
55.468,0.510787511494424,46,1,87.5005,0,184364.047146927
62.228,1.20668453834471,40,0,200.001,0,286820.229337951
58.56,0.829088340935413,38,0,150.0005,0,374127.741550561
64.512,1.4418071432746,37,0,200.001,0,445788.202393965
51.542,0.106631930515988,42,0,87.5005,0,276487.80408238
52.919,0.248384919565225,44,0,150.0005,0,178807.315233493
67.885,1.78903505326957,42,0,87.5005,0,190335.20697102
60.978,1.07800535438571,38,0,150.0005,0,276863.321968154
43.504,-0.720826694013983,36,0,200.001,0,524886.563182547
49.429,-0.11088736204831,51,0,87.5005,0,62063.4249907275
64.877,1.47938146499063,45,0,150.0005,0,418307.195024587
60.202,0.998121316983959,45,0,150.0005,0,243663.992697131
49.129,-0.141770366198471,37,0,150.0005,0,193057.60994486
53.76,0.334960274532842,40,0,87.5005,0,197500.736176781
65.686,1.5626626328489,45,0,150.0005,0,340930.201286321
56.937,0.662011288483044,36,0,62.5005,0,106327.498450819
54.465,0.40753533428572,40,0,150.0005,0,364673.147036235
62.716,1.25692089176231,37,0,87.5005,0,180756.959915878
59.034,0.877883487492667,41,0,150.0005,0,330777.182504568
42.672,-0.806475558857095,44,0,22.5005,1,43600.035429226
41.696,-0.906948265692285,34,0,87.5005,1,111168.542471755
42.799,-0.79340175376686,37,0,37.5005,0,52595.6084027573
39.753,-1.10696718923816,43,0,45.0005,1,49357.3040236685
27.293,-2.3896412949415,34,0,32.5005,1,121948.502033412
43.314,-0.740385929975751,32,1,37.5005,0,81316.3449106723
48.023,-0.255625708165396,46,1,37.5005,1,56156.0513238864
37.765,-1.31161856340656,31,0,45.0005,1,99123.5854484359
44.871,-0.580103138436417,34,0,87.5005,1,209182.37097341
51.968,0.150485796409217,37,0,87.5005,0,195596.659620501
57.306,0.699997383587741,34,0,87.5005,0,163585.332430086
56.144,0.580377214179452,32,0,45.0005,0,97654.7990645258
43.634,-0.707444058882246,45,0,62.5005,0,105865.130439407
59.315,0.90681056804665,43,0,62.5005,0,80965.5932603329
40.413,-1.03902458010781,28,0,37.5005,0,51352.7804591795
35.422,-1.55281482581931,44,1,12.5005,0,24010.4836341036
47.547,-0.304626741416985,29,1,87.5005,0,236599.560769196
47.516,-0.307817985179168,28,1,27.5005,0,77984.2625878957
40.039,-1.07752539194834,28,1,37.5005,0,62745.2583753762
48.083,-0.249449107335364,31,1,27.5005,0,62188.0527228232
20.471,-3.09192080931615,53,0,17.5005,0,26236.8427897928
56.927,0.660981855011372,27,0,87.5005,0,218544.203109572
46.137,-0.449776860922739,41,1,45.0005,0,78548.7522328949
32.602,-1.84311506483082,35,1,12.5005,0,24928.7020888126
55.573,0.52159656294698,48,1,37.5005,0,78934.0119852427
34.749,-1.62209569846284,34,1,27.5005,0,36455.4416212197
61.431,1.12463869065245,27,0,87.5005,0,190240.539940696
72.429,2.25680962279734,41,0,62.5005,0,101866.179515853
50.376,-0.0134000122809698,39,0,62.5005,0,140326.927442959
41.877,-0.888315519855021,44,0,62.5005,0,69008.0957450219
45.098,-0.556734998629463,45,0,45.0005,0,49009.7227982674
43.494,-0.721856127485655,43,0,62.5005,0,127285.889890376
57.984,0.769792972967105,30,0,62.5005,0,69981.9009507471
63.947,1.38364415212513,44,0,45.0005,0,79619.7193074618
63.058,1.29212751649349,36,0,37.5005,0,120172.473893695
44.526,-0.615618593209102,45,0,87.5005,0,170113.744331219
62.674,1.25259727118128,38,1,62.5005,0,164436.063507876
45.759,-0.488689446151942,37,0,22.5005,0,39659.8436225615
44.09,-0.660501892574002,40,0,87.5005,1,236560.018930742
42.78,-0.795357677363037,39,0,62.5005,1,122860.124846359
36.939,-1.39664976816666,27,0,87.5005,1,214637.392433252
56.474,0.614348518744629,47,0,87.5005,1,188886.452186713
58.606,0.833823734905104,42,0,87.5005,1,172086.780227655
49.31,-0.123137620361207,42,0,150.0005,1,233402.094920216
51.824,0.135661954417139,39,0,150.0005,1,364655.415012763
42.301,-0.844667540656127,38,1,87.5005,1,152027.513960241
43.515,-0.719694317195144,47,0,45.0005,1,78804.2856938895
51.565,0.108999627500834,39,1,200.001,1,342471.074109945
45.146,-0.551793717965437,36,0,200.001,1,403147.465784753
55.391,0.502860873762549,44,0,62.5005,0,119242.87306349
53.697,0.328474843661309,41,0,45.0005,0,64795.5943887069
52.736,0.229546287033627,35,0,32.5005,0,67229.1144487374
60.557,1.03466620522832,42,1,62.5005,0,82411.6946373307
54.315,0.39209383221064,44,0,62.5005,0,179369.78982869
52.761,0.232119870712808,47,0,150.0005,0,444012.095254722
54.815,0.443565505794241,41,0,87.5005,0,230803.904453005
49.917,-0.0606510086307152,42,0,200.001,1,510963.583927973
44.408,-0.627765908174832,43,0,150.0005,1,311244.448756998
55.967,0.562156241730858,39,0,87.5005,0,255180.188438374
54.859,0.448095013069598,37,0,200.001,0,509441.374026494
65.104,1.50274960479758,43,0,200.001,0,258045.957824074
60.532,1.03209262154914,39,0,200.001,0,306804.40558282
42.862,-0.786916322895326,45,0,200.001,0,448247.906168023
56.952,0.663555438690552,49,0,150.0005,0,219129.314246078
58.126,0.784410928264847,43,0,200.001,0,387199.274548654
63.241,1.31096614902509,51,0,200.001,0,479679.605311778
69.387,1.94365596071471,39,0,200.001,0,471512.307480392
65.739,1.56811863024876,39,0,200.001,0,369080.088938544
54.354,0.396108622750161,42,0,200.001,0,403270.370977461
65.576,1.5513388646605,42,0,200.001,0,676834.525174969
54.55,0.416285518794932,43,0,200.001,0,527682.175333365
66.335,1.62947286516041,39,0,200.001,0,441852.325358269
66.246,1.62031090726253,45,0,200.001,0,263118.721256045
67.199,1.71841591711287,39,0,87.5005,0,156734.43844893
53.147,0.271856002719348,47,1,87.5005,0,249239.097496026
62.146,1.198243183877,41,0,200.001,0,456034.476119299
38.449,-1.24120531394419,37,0,62.5005,0,103405.370090668
55.17,0.480110394038598,37,0,62.5005,0,155576.831372611
60.104,0.988032868961573,39,1,150.0005,0,372597.699444212
47.946,-0.263552345897271,38,0,150.0005,0,232219.077621173
66.905,1.68815057304572,48,0,87.5005,0,206145.168495562
